const,TOT_POP,White-alone pop,Black-alone pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,county_pop2018_18 and older,Urban_rural_code,Age_0_19,Age_20_39,Age_40_59,Age_60+,Other_races,Indice_Profesionales_Disponibles,Indice_Capacidad_Medica,y
1.0,125043,68303,977,-1859,1743,12.2,8.6,3.7,0.0,-18.5,-18.5,12887,25023,31215,12385,28486,26.9,22.9,46578,49508,3029,5.8,46578,98.3,60.98703749,31.74667705,2.446642404,58.42104668,67.73022266,172.6971492,10,91989,4,36163,32996,29299,26585,55763,107.80000000000001,404.028775484,104929
1.0,7033,6747,151,443,706,12.0,16.1,-4.1,0.0,68.3,68.3,1443,1812,1114,504,2163,43.7,42.9,29124,1904,129,6.3,29124,58.0,4.617942164,1.551905581,0.165263779,3.108532983,2.990487427,10.16136149,0,5682,6,1475,1758,2052,1748,135,101.93333333333332,22.595493423999997,8941
1.0,2113,2067,7,11,10,9.0,9.0,0.0,0.0,5.7,5.7,66,550,550,510,253,18.6,17.6,51641,821,61,6.9,51641,91.2,0.934327673,0.799674567,0.030439635,1.567429795,1.273179994,4.291777091,0,1800,5,347,295,480,991,39,122.78333333333335,8.896828755,2243
1.0,3499,3290,57,-56,40,9.1,7.9,1.1,2.6,-19.6,-17.0,508,822,731,338,529,23.4,22.7,49117,1596,49,3.0,49117,81.0,1.206894539,0.712311595,0.063758166,1.323926737,1.17178488,4.132455666,0,2642,6,940,808,873,878,152,95.95,8.611131582999999,3232
1.0,46248,44617,407,-212,671,12.1,10.3,1.8,0.7,-7.1,-6.4,4678,12010,7781,6293,5212,14.1,12.7,55766,22735,746,3.2,55766,100.1,23.86390547,5.839849441,0.912260504,18.18301051,22.96546709,60.16772691,7,34658,5,12698,10429,11729,11392,1224,101.68333333333334,138.932219925,41741
1.0,1937570,1028134,54961,4187,30975,11.5,5.9,5.6,9.2,-12.7,-3.5,157687,191695,294921,679498,139074,7.1,6.9,125933,1021522,27282,2.6,125933,167.4,755.0034129,387.7878565,17.5844184,1095.377016,744.4233729,2878.701543,313,1513143,1,468740,580257,522940,365633,854475,120.01666666666671,6191.8776197,1019699
1.0,11049,10597,227,-15,113,11.4,12.0,-0.6,0.0,-0.7,-0.7,1922,3200,1879,951,1961,26.1,24.6,36782,4858,218,4.3,36782,73.3,7.254890227,2.438078311,0.259633086,4.88357471,4.698122506,15.96372573,0,8739,6,2533,2359,3078,3079,225,101.93333333333332,35.49802457,12458
1.0,97493,90639,3754,-199,3436,11.1,11.6,-0.5,0.8,-2.4,-1.5,9608,30434,18792,9666,16353,24.0,22.6,46950,41917,2330,5.3,46950,83.6,50.36683761,18.64882413,1.61801068,65.93810534,45.08745225,190.0078315,19,75972,5,23578,22177,25783,25955,3100,122.35000000000001,390.66706151,96627
1.0,2922,2795,15,-31,65,12.6,8.2,4.4,0.0,-14.6,-14.6,127,762,755,410,394,16.6,15.8,55626,1426,42,2.9,55626,97.5,1.566596202,1.338065255,0.188786434,1.122782479,1.791815106,3.172936916,0,2317,6,667,550,719,986,112,109.14999999999999,9.180982391999999,2481
1.0,7142,6970,36,34,90,11.1,9.3,1.8,0.1,3.1,3.2,254,1673,1852,1082,690,11.5,10.5,57367,3983,106,2.6,57367,96.1,3.868508678,3.042980032,0.344278763,3.309518429,4.664421947,10.16177638,0,5381,5,1915,1549,1815,1863,136,105.86666666666666,25.391484229,5493
1.0,55808,50005,756,1893,361,10.4,11.1,-0.6,-0.5,35.4,34.9,4907,12395,15496,5329,5803,18.0,17.2,59732,21255,1212,5.4,59732,101.7,15.46752298,9.729274266,0.809240204,25.95086198,16.57103235,56.75716519,0,43862,5,13036,13094,13698,15980,5047,91.2,125.28509697000001,50985
1.0,35232,32602,579,564,3611,11.9,5.4,6.5,9.7,-0.1,9.6,833,5184,5015,7113,3744,9.2,8.3,62109,18481,538,2.8,62109,108.9,18.88922566,16.13371494,2.276291464,13.53794397,21.60480144,38.25767058,0,28009,5,10010,13027,6287,5908,2051,109.14999999999999,110.699648054,22312
